Category,Metric,Result
"Provenance","Sequential Write Latency — Mean (ms)","49.00"
"Provenance","Sequential Write Latency — P50 (ms)","48.69"
"Provenance","Sequential Write Latency — P95 (ms)","54.93"
"Provenance","Sequential Write Latency — P99 (ms)","56.86"
"Provenance","Sequential Write Latency — StdDev (ms)","3.19"
"Reputation","Sequential Write Latency — Mean (ms)","51.19"
"Reputation","Sequential Write Latency — P50 (ms)","50.84"
"Reputation","Sequential Write Latency — P95 (ms)","58.98"
"Reputation","Sequential Write Latency — P99 (ms)","62.98"
"Reputation","Sequential Write Latency — StdDev (ms)","4.05"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — Mean (ms)","53.61"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P50 (ms)","53.45"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P95 (ms)","61.64"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P99 (ms)","69.68"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — StdDev (ms)","5.17"
"Integrated","Sequential Read Latency (GetPartTrustReport) — Mean (ms)","5.69"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P50 (ms)","5.39"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P95 (ms)","9.17"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P99 (ms)","12.93"
"Integrated","Sequential Read Latency (GetPartTrustReport) — StdDev (ms)","1.44"
"Provenance","Concurrent Write TPS","280.83 TPS"
"Provenance","MVCC Conflict Rate","0.0%"
"Reputation","Concurrent Write TPS","303.56 TPS"
"Reputation","MVCC Conflict Rate","0.0%"
"Integrated","Concurrent Write TPS","299.67 TPS"
"Integrated","MVCC Conflict Rate (low-conflict)","0.0%"
"Reputation","High-Contention TPS","3.20 TPS"
"Reputation","MVCC Conflict Rate (high-contention)","99.0%"
"Storage","Asset Record (bytes)","177"
"Storage","ProvenanceEvent Record (bytes)","337"
"Storage","Stake Record (bytes)","70"
"Storage","Rating Record (bytes)","450"
"Storage","Reputation Record (bytes)","105"
"Storage","IntegratedEvent Record (bytes)","482"
"Storage","ProvenanceRepLink Record (bytes)","251"
