timestamp,node,container,cpu_pct,mem_used_mb,mem_limit_mb,net_rx,net_tx,block_io,phase
2026-08-04T20:56:50.359Z,D2,orderer2.example.com,0.92,132.10,15912.96,0B,0B,4.69MB/672MB,harnesscheck3
2026-08-04T20:56:50.359Z,D2,cc-unified,0.00,23.39,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:56:50.359Z,D2,peer0.org2.example.com,14.29,274.90,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:56:50.359Z,D3,orderer3.example.com,1.82,131.20,15820.80,0B,0B,102kB/672MB,harnesscheck3
2026-08-04T20:56:50.359Z,D3,cc-unified,0.00,24.50,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:56:50.359Z,D3,peer0.org3.example.com,4.68,240.30,15820.80,0B,0B,80.1MB/280MB,harnesscheck3
2026-08-04T20:56:50.359Z,D1,cc-unified,0.00,25.15,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:56:50.359Z,D4,cc-unified,0.00,24.77,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:56:50.359Z,D1,peer0.org1.example.com,1.70,282.90,7816.19,0B,0B,42.5MB/235MB,harnesscheck3
2026-08-04T20:56:50.359Z,D4,peer0.org4.example.com,0.78,306.60,15820.80,0B,0B,74.8MB/234MB,harnesscheck3
2026-08-04T20:56:50.359Z,D4,orderer.example.com,1.89,204.10,15820.80,0B,0B,460MB/173MB,harnesscheck3
2026-08-04T20:56:50.359Z,D1,HARNESS_bench.js,NA,77.65,,,,threads=11,harnesscheck3
2026-08-04T20:56:55.044Z,D3,orderer3.example.com,4.64,136.50,15820.80,0B,0B,102kB/674MB,harnesscheck3
2026-08-04T20:56:55.044Z,D3,cc-unified,2.29,26.61,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:56:55.044Z,D3,peer0.org3.example.com,29.81,241.50,15820.80,0B,0B,80.4MB/281MB,harnesscheck3
2026-08-04T20:56:55.044Z,D2,orderer2.example.com,3.38,135.10,15912.96,0B,0B,4.69MB/674MB,harnesscheck3
2026-08-04T20:56:55.044Z,D2,cc-unified,1.87,23.87,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:56:55.044Z,D1,cc-unified,2.48,26.84,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:56:55.044Z,D2,peer0.org2.example.com,18.06,276.80,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:56:55.044Z,D1,peer0.org1.example.com,52.10,287.00,7816.19,0B,0B,42.6MB/236MB,harnesscheck3
2026-08-04T20:56:55.044Z,D4,cc-unified,8.13,26.97,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:56:55.044Z,D4,peer0.org4.example.com,33.34,309.00,15820.80,0B,0B,74.8MB/235MB,harnesscheck3
2026-08-04T20:56:55.044Z,D4,orderer.example.com,16.50,206.60,15820.80,0B,0B,460MB/174MB,harnesscheck3
2026-08-04T20:56:55.044Z,D1,HARNESS_bench.js,20.8,102.39,,,,threads=11,harnesscheck3
2026-08-04T20:56:59.841Z,D2,orderer2.example.com,2.90,140.40,15912.96,0B,0B,4.69MB/675MB,harnesscheck3
2026-08-04T20:56:59.841Z,D2,cc-unified,0.70,24.03,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:56:59.841Z,D3,orderer3.example.com,4.55,142.50,15820.80,0B,0B,102kB/675MB,harnesscheck3
2026-08-04T20:56:59.841Z,D2,peer0.org2.example.com,23.55,277.00,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:56:59.841Z,D3,cc-unified,1.95,26.54,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:56:59.841Z,D3,peer0.org3.example.com,37.72,241.50,15820.80,0B,0B,80.7MB/282MB,harnesscheck3
2026-08-04T20:56:59.841Z,D1,cc-unified,3.48,26.64,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:56:59.841Z,D1,peer0.org1.example.com,38.25,289.80,7816.19,0B,0B,42.6MB/237MB,harnesscheck3
2026-08-04T20:56:59.841Z,D4,cc-unified,3.74,26.69,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:56:59.841Z,D4,peer0.org4.example.com,24.05,308.60,15820.80,0B,0B,74.8MB/237MB,harnesscheck3
2026-08-04T20:56:59.841Z,D4,orderer.example.com,12.65,210.60,15820.80,0B,0B,460MB/176MB,harnesscheck3
2026-08-04T20:56:59.841Z,D1,HARNESS_bench.js,16.8,108.05,,,,threads=11,harnesscheck3
2026-08-04T20:57:04.501Z,D4,cc-unified,2.13,26.96,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:04.501Z,D4,peer0.org4.example.com,26.35,309.80,15820.80,0B,0B,74.8MB/237MB,harnesscheck3
2026-08-04T20:57:04.501Z,D1,cc-unified,1.52,26.97,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:04.501Z,D4,orderer.example.com,16.84,215.60,15820.80,0B,0B,460MB/177MB,harnesscheck3
2026-08-04T20:57:04.501Z,D1,peer0.org1.example.com,27.33,291.80,7816.19,0B,0B,42.7MB/238MB,harnesscheck3
2026-08-04T20:57:04.501Z,D2,orderer2.example.com,3.04,145.90,15912.96,0B,0B,4.7MB/676MB,harnesscheck3
2026-08-04T20:57:04.501Z,D2,cc-unified,1.25,24.54,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:04.501Z,D2,peer0.org2.example.com,14.39,277.10,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:04.501Z,D3,orderer3.example.com,4.64,147.80,15820.80,0B,0B,111kB/676MB,harnesscheck3
2026-08-04T20:57:04.501Z,D3,cc-unified,2.50,26.53,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:04.501Z,D3,peer0.org3.example.com,28.64,244.50,15820.80,0B,0B,80.8MB/283MB,harnesscheck3
2026-08-04T20:57:04.501Z,D1,HARNESS_bench.js,12.2,110.73,,,,threads=11,harnesscheck3
2026-08-04T20:57:09.244Z,D3,orderer3.example.com,3.78,151.10,15820.80,0B,0B,111kB/677MB,harnesscheck3
2026-08-04T20:57:09.244Z,D3,cc-unified,7.64,25.76,15820.80,0B,0B,2.63MB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D3,peer0.org3.example.com,16.75,245.40,15820.80,0B,0B,81.2MB/284MB,harnesscheck3
2026-08-04T20:57:09.244Z,D4,cc-unified,0.82,26.23,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:09.244Z,D4,peer0.org4.example.com,7.28,311.30,15820.80,0B,0B,74.8MB/238MB,harnesscheck3
